"","V1","V2","V3"
"1","縣市","年平均發電量","年度日平均發電量"
"2","","kWh/kWp","kWh/day/kWp"
"3","基隆市","897","2.46"
"4","台北縣市","958","2.63"
"5","桃園縣","1058","2.90"
"6","新竹縣","1113","3.05"
"7","苗栗縣","1209","3.31"
"8","宜蘭縣","931","2.55"
"9","連江縣","1148","3.15"
"10","台中縣市","1205","3.30"
"11","彰化縣","1324","3.63"
"12","雲林縣","1269","3.48"
"13","南投縣","1142","3.13"
"14","嘉義縣","1231","3.37"
"15","花蓮縣","767","2.10"
"16","金門縣","1140","3.12"
"17","澎湖縣","1271","3.48"
"18","台南縣市","1285","3.52"
"19","高雄縣市","1204","3.30"
"20","屏東縣","1147","3.14"
"21","台東縣","969","2.66"
